,gene,cluster
3848,DST,Singleton
3849,SNCA,Singleton
3850,IL16,Singleton
3851,BCR,Singleton
3852,PRKACA,Singleton
3853,APOA1,Singleton
3854,PDE4DIP,Singleton
3855,BAD,Singleton
3856,PKLR,Singleton
3857,CREB1,Singleton
3858,CTNNA1,Singleton
3859,ITGB3,Singleton
3860,HBB,Singleton
3861,ITPR1,Singleton
3862,CD86,Singleton
3863,NRG1,Singleton
3864,LAP3,Singleton
3865,PLCB3,Singleton
3866,ASS1,Singleton
3867,RREB1,Singleton
3868,AKAP13,Singleton
3869,FERMT2,Singleton
3870,ARHGAP25,Singleton
3871,DTNA,Singleton
3872,SH3BP5,Singleton
3873,HLA-DRA,Singleton
3874,PMP22,Singleton
3875,DSG2,Singleton
3876,CYP1A1,Singleton
3877,CYLD,Singleton
3878,SOX11,Singleton
3879,CFLAR,Singleton
3880,ACOX1,Singleton
3881,RAC2,Singleton
3882,GSTM1,Singleton
3883,ATP2A3,Singleton
3884,POR,Singleton
3885,ENPP1,Singleton
3886,CDC14B,Singleton
3887,ADCY2,Singleton
3888,CPD,Singleton
3889,DAXX,Singleton
3890,FDFT1,Singleton
3891,SYK,Singleton
3892,PSME2,Singleton
3893,LAMP2,Singleton
3894,ITGA4,Singleton
3895,CASP1,Singleton
3896,BNIP3,Singleton
3897,AKR1C1,Singleton
3898,ANK2,Singleton
3899,ASRGL1,Singleton
3900,CA12,Singleton
3901,ABHD2,Singleton
3902,NR0B2,Singleton
3903,ITCH,Singleton
3904,TMEM97,Singleton
3905,TBC1D1,Singleton
3906,ADD3,Singleton
3907,CAPRIN1,Singleton
3908,ALDH4A1,Singleton
3909,GHR,Singleton
3910,MAP2K2,Singleton
3911,DEGS1,Singleton
3912,HDAC6,Singleton
3913,CD47,Singleton
3914,HUS1,Singleton
3915,HLF,Singleton
3916,RPA1,Singleton
3917,OXCT1,Singleton
3918,ALDH6A1,Singleton
3919,PROS1,Singleton
3920,PLCE1,Singleton
3921,FKBP4,Singleton
3922,CYP1A2,Singleton
3923,AK2,Singleton
3924,STX1A,Singleton
3925,HSPG2,Singleton
3926,PLXNA1,Singleton
3927,CDHR1,Singleton
3928,ABCC6,Singleton
3929,CBS,Singleton
3930,DHRS2,Singleton
3931,CLDN7,Singleton
3932,CDH3,Singleton
3933,ID4,Singleton
3934,AAK1,Singleton
3935,OGT,Singleton
3936,ALOX5AP,Singleton
3937,PCK2,Singleton
3938,IKBKB,Singleton
3939,PTPRF,Singleton
3940,ARID1A,Singleton
3941,ARHGAP28,Singleton
3942,BCLAF1,Singleton
3943,AMDHD2,Singleton
3944,SMNDC1,Singleton
3945,MBNL1,Singleton
3946,ATP6V1D,Singleton
3947,CLN3,Singleton
3948,DRD2,Singleton
3949,ERG,Singleton
3950,ATP1A1,Singleton
3951,HSD17B11,Singleton
3952,EED,Singleton
3953,IDH1,Singleton
3954,ZNF586,Singleton
3955,NR4A3,Singleton
3956,COPB2,Singleton
3957,CHD3,Singleton
3958,NRAS,Singleton
3959,AASS,Singleton
3960,CAPN1,Singleton
3961,ACO2,Singleton
3962,ESRRA,Singleton
3963,ST3GAL6,Singleton
3964,ERLIN1,Singleton
3965,PLS1,Singleton
3966,MNAT1,Singleton
3967,EPS8,Singleton
3968,ADRA1A,Singleton
3969,COPZ1,Singleton
3970,AMACR,Singleton
3971,ANK1,Singleton
3972,APEH,Singleton
3973,IGFBP1,Singleton
3974,ATP6V0A1,Singleton
3975,ANKRD12,Singleton
3976,ZNF821,Singleton
3977,RAP1GAP,Singleton
3978,CHD7,Singleton
3979,CDKN2D,Singleton
3980,DPT,Singleton
3981,ARL4C,Singleton
3982,ASPH,Singleton
3983,JMJD6,Singleton
3984,RPN1,Singleton
3985,EI24,Singleton
3986,BMP7,Singleton
3987,KCNMA1,Singleton
3988,KIF5C,Singleton
3989,CACYBP,Singleton
3990,ATXN7L1,Singleton
3991,L1CAM,Singleton
3992,NPAS2,Singleton
3993,PODXL,Singleton
3994,AGRN,Singleton
3995,CDH2,Singleton
3996,ASGR1,Singleton
3997,EBP,Singleton
3998,NPC1,Singleton
3999,ATRX,Singleton
4000,LSR,Singleton
4001,HAVCR1,Singleton
4002,RAD50,Singleton
4003,CASKIN2,Singleton
4004,DUSP3,Singleton
4005,INHBE,Singleton
4006,TJP1,Singleton
4007,PKP3,Singleton
4008,EPHA3,Singleton
4009,ALDOB,Singleton
4010,ALAD,Singleton
4011,ANP32A,Singleton
4012,AFF1,Singleton
4013,DBP,Singleton
4014,XK,Singleton
4015,BAZ2A,Singleton
4016,CD84,Singleton
4017,WSB1,Singleton
4018,COPS8,Singleton
4019,LMO4,Singleton
4020,ABI2,Singleton
4021,ARHGAP33,Singleton
4022,EHMT1,Singleton
4023,TRIM13,Singleton
4024,AKR1B1,Singleton
4025,FUBP1,Singleton
4026,APBB2,Singleton
4027,CTTN,Singleton
4028,NAV2,Singleton
4029,APAF1,Singleton
4030,FOXC2,Singleton
4031,HLTF,Singleton
4032,P4HA2,Singleton
4033,DDR1,Singleton
4034,BCAT1,Singleton
4035,ADAM17,Singleton
4036,EPOR,Singleton
4037,BNC2,Singleton
4038,ELK4,Singleton
4039,LEPR,Singleton
4040,COCH,Singleton
4041,ATP2C1,Singleton
4042,NIPSNAP1,Singleton
4043,CNOT4,Singleton
4044,RARB,Singleton
4045,CAV2,Singleton
4046,CPNE6,Singleton
4047,NR2F6,Singleton
4048,CBFA2T2,Singleton
4049,NOX4,Singleton
4050,WSB2,Singleton
4051,CEP76,Singleton
4052,RGS5,Singleton
4053,EDA,Singleton
4054,CCL25,Singleton
4055,POLD4,Singleton
4056,IDH2,Singleton
4057,IFNGR1,Singleton
4058,ITGB4,Singleton
4059,SLC29A1,Singleton
4060,ATP6V0E1,Singleton
4061,NEDD4L,Singleton
4062,RECK,Singleton
4063,AKR1C2,Singleton
4064,NR0B1,Singleton
4065,ADAMTS7,Singleton
4066,SATB1,Singleton
4067,CAPN10,Singleton
4068,FBXO9,Singleton
4069,GFAP,Singleton
4070,ANAPC5,Singleton
4071,ILK,Singleton
4072,ZNF862,Singleton
4073,CACNB1,Singleton
4074,HEBP1,Singleton
4075,CIB2,Singleton
4076,ARID4B,Singleton
4077,CACNA1I,Singleton
4078,PRCP,Singleton
4079,DPYD,Singleton
4080,HK1,Singleton
4081,HEMK1,Singleton
4082,AP2S1,Singleton
4083,TCF12,Singleton
4084,PPP1R14B,Singleton
4085,ZNHIT2,Singleton
4086,NPEPL1,Singleton
4087,CDC14A,Singleton
4088,KLHL21,Singleton
4089,HOMER2,Singleton
4090,ATXN1,Singleton
4091,PPFIBP2,Singleton
4092,GYS1,Singleton
4093,CBLB,Singleton
4094,COPZ2,Singleton
4095,BATF,Singleton
4096,IKBKE,Singleton
4097,UBQLN2,Singleton
4098,CASP10,Singleton
4099,ADCY9,Singleton
4100,DUSP7,Singleton
4101,HUNK,Singleton
4102,CBLL1,Singleton
4103,ASAH1,Singleton
4104,CDKL5,Singleton
4105,ANGPTL2,Singleton
4106,ADCYAP1,Singleton
4107,SLC37A4,Singleton
4108,STK10,Singleton
4109,CRY2,Singleton
4110,ATP6V0C,Singleton
4111,TMCO1,Singleton
4112,LSM14A,Singleton
4113,ATXN10,Singleton
4114,PTPN21,Singleton
4115,CRK,Singleton
4116,LIMCH1,Singleton
4117,NPY,Singleton
4118,ERAP1,Singleton
4119,SORBS3,Singleton
4120,CCHCR1,Singleton
4121,BIRC2,Singleton
4122,KCND3,Singleton
4123,SREBF1,Singleton
4124,ABCA5,Singleton
4125,LPGAT1,Singleton
4126,ST3GAL5,Singleton
4127,MSX1,Singleton
4128,IFI44L,Singleton
4129,ZNF79,Singleton
4130,CADM4,Singleton
4131,HLA-DMA,Singleton
4132,PRKAG2,Singleton
4133,CYP51A1,Singleton
4134,COL4A3,Singleton
4135,DOCK6,Singleton
4136,EIF1AX,Singleton
4137,PCM1,Singleton
4138,IDUA,Singleton
4139,TCERG1,Singleton
4140,ZSCAN12,Singleton
4141,ARHGEF3,Singleton
4142,CREB3L1,Singleton
4143,REEP4,Singleton
4144,CRYZ,Singleton
4145,RNH1,Singleton
4146,USP14,Singleton
4147,ITGA2B,Singleton
4148,BEX4,Singleton
4149,SYNGR3,Singleton
4150,FAM149B1,Singleton
4151,ZNHIT6,Singleton
4152,ACSBG1,Singleton
4153,DRD1,Singleton
4154,ANKRA2,Singleton
4155,RASA1,Singleton
4156,RAB27A,Singleton
4157,ITPR3,Singleton
4158,CPNE3,Singleton
4159,TANC2,Singleton
4160,HADHA,Singleton
4161,ADAM15,Singleton
4162,PPP2R5D,Singleton
4163,MBNL2,Singleton
4164,AP1S1,Singleton
4165,ALDH7A1,Singleton
4166,QKI,Singleton
4167,GRID2,Singleton
4168,PSPH,Singleton
4169,DYRK2,Singleton
4170,ATF7IP,Singleton
4171,NBR1,Singleton
4172,TSKU,Singleton
4173,MYO10,Singleton
4174,AKAP9,Singleton
4175,NPRL3,Singleton
4176,SLC5A6,Singleton
4177,CLOCK,Singleton
4178,ASPN,Singleton
4179,COPS7B,Singleton
4180,ARHGAP26,Singleton
4181,RFX5,Singleton
4182,APRT,Singleton
4183,AP1M2,Singleton
4184,ZZEF1,Singleton
4185,FOXG1,Singleton
4186,HNRNPH2,Singleton
4187,CHRDL1,Singleton
4188,ZNF83,Singleton
4189,P2RY2,Singleton
4190,ZNF91,Singleton
4191,ASB4,Singleton
4192,CCDC59,Singleton
4193,CLASP2,Singleton
4194,ASMT,Singleton
4195,HNF4G,Singleton
4196,GK,Singleton
4197,IFNA2,Singleton
4198,ATP6V0A2,Singleton
4199,REEP5,Singleton
4200,ZNF783,Singleton
4201,ABCB6,Singleton
4202,CDK10,Singleton
4203,DCAF11,Singleton
4204,APPBP2,Singleton
4205,NRF1,Singleton
4206,CSNK1A1,Singleton
4207,SLC27A3,Singleton
4208,DOCK9,Singleton
4209,AMZ2,Singleton
4210,NQO2,Singleton
4211,BRD4,Singleton
4212,ANXA6,Singleton
4213,CD7,Singleton
4214,PAFAH1B1,Singleton
4215,PHC1,Singleton
4216,CHD8,Singleton
4217,PRPF18,Singleton
4218,DCTN1,Singleton
4219,CA4,Singleton
4220,BCAR3,Singleton
4221,ANKRD10,Singleton
4222,MTMR7,Singleton
4223,CASP6,Singleton
4224,ALMS1,Singleton
4225,DNTTIP2,Singleton
4226,CLCNKB,Singleton
4227,BAP1,Singleton
4228,DR1,Singleton
4229,PLEKHH3,Singleton
4230,ASB1,Singleton
4231,ITSN1,Singleton
4232,IFT122,Singleton
4233,MAP3K7,Singleton
4234,UTP14A,Singleton
4235,ADRA2A,Singleton
4236,AP3S2,Singleton
4237,CCDC144A,Singleton
4238,ALDH9A1,Singleton
4239,WNT7A,Singleton
4240,NPHP4,Singleton
4241,PTPN22,Singleton
4242,ENSA,Singleton
4243,CCNC,Singleton
4244,DENR,Singleton
4245,APOOL,Singleton
4246,CROCC,Singleton
4247,HTR5A,Singleton
4248,CHRNA4,Singleton
4249,EPS8L2,Singleton
4250,EID1,Singleton
4251,DDB2,Singleton
4252,BCL10,Singleton
4253,ARHGAP19,Singleton
4254,TP53BP1,Singleton
4255,CCR9,Singleton
4256,CACNA1D,Singleton
4257,RFX1,Singleton
4258,AKAP8L,Singleton
4259,AHCYL2,Singleton
4260,CALCRL,Singleton
4261,CEP97,Singleton
4262,ABCC8,Singleton
4263,SNTB2,Singleton
4264,ALG12,Singleton
4265,BBS4,Singleton
4266,SPAG7,Singleton
4267,CRB1,Singleton
4268,GNL3L,Singleton
4269,GFPT1,Singleton
4270,TNPO2,Singleton
4271,NR1H2,Singleton
4272,CACNB2,Singleton
4273,CPOX,Singleton
4274,CAPZA2,Singleton
4275,BSPRY,Singleton
4276,ASAP3,Singleton
4277,SMYD3,Singleton
4278,BBX,Singleton
4279,EPB41L2,Singleton
4280,LHCGR,Singleton
4281,RPS6KB1,Singleton
4282,KAZN,Singleton
4283,ZNHIT3,Singleton
4284,ADK,Singleton
4285,CHIC2,Singleton
4286,FRS2,Singleton
4287,GUCY1A2,Singleton
4288,HESX1,Singleton
4289,GNPDA1,Singleton
4290,DLEC1,Singleton
4291,PMM2,Singleton
4292,CHST3,Singleton
4293,CASP2,Singleton
4294,ADCK2,Singleton
4295,CDK13,Singleton
4296,CGGBP1,Singleton
4297,OXA1L,Singleton
4298,DBN1,Singleton
4299,APC2,Singleton
4300,KCNK5,Singleton
4301,ASCL1,Singleton
4302,CEP85,Singleton
4303,PHKB,Singleton
4304,DYRK1B,Singleton
4305,CNOT8,Singleton
4306,GPD2,Singleton
4307,BAHCC1,Singleton
4308,SYNRG,Singleton
4309,MAPK13,Singleton
4310,APOC4,Singleton
4311,ARG2,Singleton
4312,C2CD2,Singleton
4313,GSTT1,Singleton
4314,LMX1B,Singleton
4315,KHDRBS3,Singleton
4316,BLK,Singleton
4317,ELK1,Singleton
4318,HTR3A,Singleton
4319,CDK16,Singleton
4320,IFT81,Singleton
4321,LYRM1,Singleton
4322,NOSIP,Singleton
4323,CACNA1G,Singleton
4324,BTD,Singleton
4325,CEP135,Singleton
4326,GTF2H3,Singleton
4327,DYNC1LI2,Singleton
4328,NMT1,Singleton
4329,EDEM3,Singleton
4330,KDM4A,Singleton
4331,CLN5,Singleton
4332,GIT1,Singleton
4333,DLGAP4,Singleton
4334,CMPK1,Singleton
4335,FZR1,Singleton
4336,CEP104,Singleton
4337,MPZL1,Singleton
4338,BTBD2,Singleton
4339,CCDC40,Singleton
4340,ASAP2,Singleton
4341,TAF1A,Singleton
4342,CCL18,Singleton
4343,IL17RC,Singleton
4344,DPF2,Singleton
4345,FBXL12,Singleton
4346,DYRK1A,Singleton
4347,HERC6,Singleton
4348,GTF2A1,Singleton
4349,IL12A,Singleton
4350,ATG9A,Singleton
4351,TAF4,Singleton
4352,CDC40,Singleton
4353,ARIH1,Singleton
4354,PLXDC1,Singleton
4355,CLEC16A,Singleton
4356,DTX2,Singleton
4357,EN1,Singleton
4358,PTGES,Singleton
4359,ARSB,Singleton
4360,CLN8,Singleton
4361,B3GALT1,Singleton
4362,ECEL1,Singleton
4363,YME1L1,Singleton
4364,CEP68,Singleton
4365,ULK2,Singleton
4366,FMO2,Singleton
4367,FOLH1,Singleton
4368,TAX1BP1,Singleton
4369,GOLGB1,Singleton
4370,TAF6,Singleton
4371,ABCA6,Singleton
4372,CUL4B,Singleton
4373,FAM13A,Singleton
4374,IL22RA1,Singleton
4375,CRBN,Singleton
4376,GTF2E2,Singleton
4377,CACNG4,Singleton
4378,CDC16,Singleton
4379,OLFML2B,Singleton
4380,CMAS,Singleton
4381,INVS,Singleton
4382,MPP3,Singleton
4383,DPM2,Singleton
4384,CCKBR,Singleton
4385,TMEM109,Singleton
4386,DNAH3,Singleton
4387,AGER,Singleton
4388,CUL9,Singleton
4389,HMBS,Singleton
4390,LHX1,Singleton
4391,GNAT1,Singleton
4392,BMP3,Singleton
4393,TIMM17B,Singleton
4394,TIMM9,Singleton
4395,ABHD5,Singleton
4396,EIF3M,Singleton
4397,AAGAB,Singleton
4398,CEP72,Singleton
4399,NEU2,Singleton
4400,EYA2,Singleton
4401,ZRSR2,Singleton
4402,GFI1B,Singleton
4403,DHRS7,Singleton
4404,DTNB,Singleton
4405,ALX3,Singleton
4406,ZMYM2,Singleton
4407,GABRR2,Singleton
4408,CDV3,Singleton
4409,HNRNPH3,Singleton
4410,SIRT3,Singleton
4411,ZNF148,Singleton
4412,ZNF787,Singleton
4413,ITGB1BP1,Singleton
4414,ALDH3B1,Singleton
4415,NCK2,Singleton
4416,FPGS,Singleton
4417,PNLIPRP2,Singleton
4418,CIZ1,Singleton
4419,DDX31,Singleton
4420,CLEC1B,Singleton
4421,ATF1,Singleton
4422,BICD2,Singleton
4423,ZXDB,Singleton
4424,ABHD6,Singleton
4425,GYG2,Singleton
4426,AMT,Singleton
4427,TCP11L1,Singleton
4428,BLOC1S1,Singleton
4429,CRKL,Singleton
4430,BTN3A1,Singleton
4431,B9D2,Singleton
4432,CCNA1,Singleton
4433,MCOLN1,Singleton
4434,ZNF839,Singleton
4435,CTSE,Singleton
4436,ACSF2,Singleton
4437,BAHD1,Singleton
4438,PUM2,Singleton
4439,INPP1,Singleton
4440,GPR161,Singleton
4441,CENPM,Singleton
4442,CGREF1,Singleton
4443,HSPA13,Singleton
4444,TEAD3,Singleton
4445,DDX28,Singleton
4446,MT1G,Singleton
4447,IGFALS,Singleton
4448,SLC26A1,Singleton
4449,ATG12,Singleton
4450,ZNHIT1,Singleton
4451,AMH,Singleton
4452,METRN,Singleton
4453,IARS2,Singleton
4454,RAB3GAP2,Singleton
4455,KAT7,Singleton
4456,ARHGAP22,Singleton
4457,IL27RA,Singleton
4458,PPIL2,Singleton
4459,OPLAH,Singleton
4460,TAPBPL,Singleton
4461,CCDC33,Singleton
4462,NRSN2,Singleton
4463,CES3,Singleton
4464,B4GALT7,Singleton
4465,DYNC2LI1,Singleton
4466,ARHGEF6,Singleton
4467,ERGIC3,Singleton
4468,CAPN3,Singleton
4469,SIKE1,Singleton
4470,RBM15B,Singleton
4471,DBH,Singleton
4472,BTG3,Singleton
4473,DMWD,Singleton
4474,DNAJC4,Singleton
4475,CACNG5,Singleton
4476,DECR2,Singleton
4477,RRP8,Singleton
4478,KAZALD1,Singleton
4479,COL19A1,Singleton
4480,DNAI2,Singleton
4481,GOLGA2,Singleton
4482,IL21R,Singleton
4483,ADAMTS8,Singleton
4484,MOG,Singleton
4485,GUF1,Singleton
4486,LAGE3,Singleton
4487,TRAPPC6A,Singleton
4488,FOXF1,Singleton
4489,ENDOU,Singleton
4490,CD320,Singleton
4491,SLC30A10,Singleton
4492,CHMP6,Singleton
4493,ABCA4,Singleton
4494,COL4A6,Singleton
4495,PWP1,Singleton
4496,GABPB1,Singleton
4497,ARSD,Singleton
4498,PRX,Singleton
4499,NCR3,Singleton
4500,GREM2,Singleton
4501,ANO10,Singleton
4502,KAT8,Singleton
4503,ZXDC,Singleton
4504,SPINK2,Singleton
4505,BBIP1,Singleton
4506,TJAP1,Singleton
4507,UBE3B,Singleton
4508,ADRB3,Singleton
4509,COL10A1,Singleton
4510,PAFAH1B3,Singleton
4511,ACTR5,Singleton
4512,DHRS12,Singleton
4513,COL8A2,Singleton
4514,CD58,Singleton
4515,PIGB,Singleton
4516,TADA3,Singleton
4517,IMPG1,Singleton
4518,SPPL2B,Singleton
4519,ALOX12,Singleton
4520,NPAS1,Singleton
4521,CYP2R1,Singleton
4522,PIP,Singleton
4523,DNASE1L1,Singleton
4524,ZSCAN16,Singleton
4525,NRTN,Singleton
4526,LAMB4,Singleton
4527,GOLGA1,Singleton
4528,GALNT3,Singleton
4529,CSGALNACT2,Singleton
4530,ATG3,Singleton
4531,CTF1,Singleton
4532,PRAF2,Singleton
4533,GPX7,Singleton
4534,SSTR3,Singleton
4535,DEPDC5,Singleton
4536,DCAF8,Singleton
4537,GPATCH3,Singleton
4538,ETV2,Singleton
4539,CAPN9,Singleton
4540,NR2E3,Singleton
4541,GLP2R,Singleton
4542,KIAA0319L,Singleton
4543,CA14,Singleton
4544,ZSCAN18,Singleton
4545,ZNF93,Singleton
4546,NOX1,Singleton
4547,TBXA2R,Singleton
4548,KLHL26,Singleton
4549,FBXO24,Singleton
4550,JMJD7,Singleton
4551,CTRL,Singleton
4552,CLDN15,Singleton
4553,ZNF10,Singleton
4554,S100A7,Singleton
4555,CILP,Singleton
4556,ZNF84,Singleton
4557,PTGDR,Singleton
4558,NPHS1,Singleton
4559,ASMTL,Singleton
4560,CXCR5,Singleton
4561,ELF5,Singleton
4562,NPBWR2,Singleton
4563,DNMT3L,Singleton
4564,CCKAR,Singleton
4565,RFPL2,Singleton
4566,ZNRF4,Singleton
4567,ZP2,Singleton
4568,PAX4,Singleton
4569,CTRB2,Singleton
4570,CYP2W1,Singleton
4571,ACTL7A,Singleton
4572,BMP10,Singleton
4573,KRT31,Singleton
4574,ZPBP,Singleton
4575,CYP3A43,Singleton
4576,OR10J1,Singleton
4577,SCGB2A2,Singleton
4578,CRYGC,Singleton
4579,GP2,Singleton
4580,CYP2A7,Singleton
4581,CMA1,Singleton
4582,G6PC2,Singleton
4583,SULT1E1,Singleton
4584,PRY,Singleton
4585,GYPA,Singleton
4586,IFNA14,Singleton
4587,PRB1,Singleton
4588,BMP15,Singleton
4589,CRISP1,Singleton
4590,SCGB1D2,Singleton
4591,CRYGB,Singleton
4592,IFNW1,Singleton
4593,PRAMEF11,Singleton
4594,HERPUD1,Singleton
4595,FADS1,Singleton
4596,NREP,Singleton
4597,EIF5,Singleton
4598,ALCAM,Singleton
4599,DAPK1,Singleton
4600,TRIB3,Singleton
4601,PERP,Singleton
4602,BNIP3L,Singleton
4603,MARCKS,Singleton
4604,DAB2IP,Singleton
4605,EIF4EBP1,Singleton
4606,TIPARP,Singleton
4607,NF1,Singleton
4608,SORL1,Singleton
4609,TNFRSF12A,Singleton
4610,UGDH,Singleton
4611,PTK2,Singleton
4612,DUSP2,Singleton
4613,SLC16A1,Singleton
4614,CHAC1,Singleton
4615,CPT1A,Singleton
4616,CAT,Singleton
4617,TRIO,Singleton
4618,CTH,Singleton
4619,MAP2K5,Singleton
4620,BCKDHB,Singleton
4621,RETSAT,Singleton
4622,CCNG2,Singleton
4623,TST,Singleton
4624,DNAJB1,Singleton
4625,HRAS,Singleton
4626,F2R,Singleton
4627,SLC27A2,Singleton
4628,ADI1,Singleton
4629,IL1R1,Singleton
4630,SELENBP1,Singleton
4631,IVNS1ABP,Singleton
4632,LAPTM4B,Singleton
4633,CDC25B,Singleton
4634,MAPK8,Singleton
4635,LRP5,Singleton
4636,TNKS1BP1,Singleton
4637,ATRN,Singleton
4638,MX1,Singleton
4639,AKT3,Singleton
4640,GLRX,Singleton
4641,DDC,Singleton
4642,ITGA5,Singleton
4643,LRRK2,Singleton
4644,MPRIP,Singleton
4645,SRM,Singleton
4646,PKD1,Singleton
4647,TSPAN3,Singleton
4648,GAMT,Singleton
4649,PDCD4,Singleton
4650,MAT2A,Singleton
4651,TJP2,Singleton
4652,CREM,Singleton
4653,FBXO11,Singleton
4654,SCP2,Singleton
4655,BCAR1,Singleton
4656,AMIGO2,Singleton
4657,PXDC1,Singleton
4658,KLHL24,Singleton
4659,BID,Singleton
4660,LPIN1,Singleton
4661,IFIT2,Singleton
4662,ANO6,Singleton
4663,ADA,Singleton
4664,PPP3CA,Singleton
4665,PDE4B,Singleton
4666,KCTD12,Singleton
4667,ARC,Singleton
4668,KCNN4,Singleton
4669,RASGRP2,Singleton
4670,GNA11,Singleton
4671,CFTR,Singleton
4672,CYFIP1,Singleton
4673,GAN,Singleton
4674,VAT1,Singleton
4675,LCAT,Singleton
4676,VDAC1,Singleton
4677,NOMO1,Singleton
4678,ATP13A3,Singleton
4679,SNX9,Singleton
4680,SLC38A1,Singleton
4681,ACSL3,Singleton
4682,LTBP4,Singleton
4683,CYFIP2,Singleton
4684,MXI1,Singleton
4685,EIF4E,Singleton
4686,LYPLA1,Singleton
4687,PRKACB,Singleton
4688,LYST,Singleton
4689,MICAL2,Singleton
4690,SYNPO,Singleton
4691,BAIAP2,Singleton
4692,ANXA4,Singleton
4693,DVL1,Singleton
4694,SYNE2,Singleton
4695,OAS1,Singleton
4696,IL7R,Singleton
4697,CD83,Singleton
4698,SLC1A4,Singleton
4699,SMARCA2,Singleton
4700,ENAH,Singleton
4701,RASSF2,Singleton
4702,AFF4,Singleton
4703,CDC42SE1,Singleton
4704,NEDD9,Singleton
4705,SAMHD1,Singleton
4706,GABBR2,Singleton
4707,PTPRD,Singleton
4708,ITPK1,Singleton
4709,ARHGEF12,Singleton
4710,TAOK1,Singleton
4711,PTMS,Singleton
4712,PTGER4,Singleton
4713,MTUS1,Singleton
4714,GLS,Singleton
4715,PTPRS,Singleton
4716,MYO5A,Singleton
4717,LRPAP1,Singleton
4718,SIPA1,Singleton
4719,PLP1,Singleton
4720,PXMP2,Singleton
4721,PHLDB1,Singleton
4722,PKD2,Singleton
4723,ABCA7,Singleton
4724,PHLDA2,Singleton
4725,LSS,Singleton
4726,ACACA,Singleton
4727,DDAH1,Singleton
4728,SLC1A3,Singleton
4729,KDM3A,Singleton
4730,VLDLR,Singleton
4731,POMC,Singleton
4732,DYSF,Singleton
4733,SYTL2,Singleton
4734,RIN2,Singleton
4735,SLC12A2,Singleton
4736,FGFR4,Singleton
4737,XIAP,Singleton
4738,FRMD6,Singleton
4739,SASH1,Singleton
4740,TBX1,Singleton
4741,ROCK2,Singleton
4742,MEST,Singleton
4743,SELPLG,Singleton
4744,AK4,Singleton
4745,TRIB2,Singleton
4746,CDK5R1,Singleton
4747,NID2,Singleton
4748,CIT,Singleton
4749,LIFR,Singleton
4750,APBB1IP,Singleton
4751,BCOR,Singleton
4752,SNX33,Singleton
4753,CACNA1A,Singleton
4754,CASP4,Singleton
4755,ITGB8,Singleton
4756,AHNAK2,Singleton
4757,NOTCH3,Singleton
4758,LYPLA2,Singleton
4759,PYGL,Singleton
4760,CDKN2B,Singleton
4761,SPRY4,Singleton
4762,TNK2,Singleton
4763,AKNA,Singleton
4764,HNMT,Singleton
4765,RPS6KA2,Singleton
4766,USP22,Singleton
4767,ZCCHC24,Singleton
4768,UPP1,Singleton
4769,PREX1,Singleton
4770,TTC3,Singleton
4771,ASL,Singleton
4772,CCL4,Singleton
4773,FZD4,Singleton
4774,CLDN1,Singleton
4775,APOL6,Singleton
4776,LXN,Singleton
4777,NEFL,Singleton
4778,CD38,Singleton
4779,GAP43,Singleton
4780,PTPRE,Singleton
4781,TNFSF9,Singleton
4782,TFEB,Singleton
4783,ANGPTL4,Singleton
4784,IRF6,Singleton
4785,ARRDC3,Singleton
4786,ADAM22,Singleton
4787,RAB11FIP5,Singleton
4788,MBD3,Singleton
4789,STK4,Singleton
4790,MALL,Singleton
4791,COBL,Singleton
4792,FRZB,Singleton
4793,MYO6,Singleton
4794,SKIL,Singleton
4795,CX3CL1,Singleton
4796,BHLHE41,Singleton
4797,IRF8,Singleton
4798,BARD1,Singleton
4799,GNAI1,Singleton
4800,NODAL,Singleton
4801,PSD3,Singleton
4802,LMO7,Singleton
4803,RCAN1,Singleton
4804,MXD1,Singleton
4805,PFN2,Singleton
4806,KIF5B,Singleton
4807,COL8A1,Singleton
4808,SPOCK1,Singleton
4809,DNM1L,Singleton
4810,AQP4,Singleton
4811,AMOTL2,Singleton
4812,CD82,Singleton
4813,KALRN,Singleton
4814,STUB1,Singleton
4815,FBXW7,Singleton
4816,ERCC2,Singleton
4817,CNTNAP2,Singleton
4818,TSPAN9,Singleton
4819,ANGPT2,Singleton
4820,NF2,Singleton
4821,GSTA4,Singleton
4822,IL33,Singleton
4823,MT1X,Singleton
4824,NBL1,Singleton
4825,NTRK3,Singleton
4826,CYB5A,Singleton
4827,NR1D2,Singleton
4828,PER2,Singleton
4829,ADCY6,Singleton
4830,TLR1,Singleton
4831,NFIC,Singleton
4832,GSTM3,Singleton
4833,REST,Singleton
4834,NDEL1,Singleton
4835,LMTK2,Singleton
4836,IRAK3,Singleton
4837,PPL,Singleton
4838,KCNJ2,Singleton
4839,SSBP2,Singleton
4840,CAMK2D,Singleton
4841,LGR4,Singleton
4842,PTHLH,Singleton
4843,ISYNA1,Singleton
4844,TNRC18,Singleton
4845,CLIC1,Singleton
4846,PTPN13,Singleton
4847,FCGR2B,Singleton
4848,HSD17B2,Singleton
4849,SCG5,Singleton
4850,FLOT1,Singleton
4851,RIMS2,Singleton
4852,GIPC1,Singleton
4853,LAMA5,Singleton
4854,GJB3,Singleton
4855,UTRN,Singleton
4856,PLXNB1,Singleton
4857,CD69,Singleton
4858,SMO,Singleton
4859,MAGED2,Singleton
4860,ROCK1,Singleton
