,gene,cluster
288,MIR10400,4
289,PLA2G2F,29
290,BAGE5,54
291,MIR7110,41
292,IGHV2OR16-5,17
293,ELOA3BP,2
294,SPDYE14,2
295,MT-ND4,23
296,OR6C64P,28
297,PLSCR3,3
298,BAGE3,54
299,MIR6791,4
300,IGHV3OR16-10,17
301,H2AC10P,35
302,MIR3192,31
303,IGKV1-16,12
304,MIR3913-1,7
305,ATP11C,3
306,IGLV3-21,16
307,OR5T1,32
308,MIR6729,14
309,LOC408186,26
310,IGLV1-44,16
311,OR5AM1P,18
312,IGHV3-53,12
313,OR5B19P,34
314,IGHV1-58,17
315,IGHV3-30-5,50
316,OR6M2P,35
317,MIR6855,14
318,IGKV2D-29,57
319,TRBV6-1,5
320,IGHV4-30-4,50
321,IGHV2-70,12
322,MIR5588,48
323,CT47A8,13
324,SPDYE15,35
325,OR9I2P,43
326,OR7E46P,36
327,IGHV3-15,16
328,TRBV7-2,5
329,IGLV3-27,12
330,TRAJ40,0
331,TRAJ25,0
332,TRAJ11,0
333,IGHV1-45,17
334,OR8V1P,43
335,IGHV4-39,16
336,TRAJ2,0
337,OR7E106P,36
338,TEX54,24
339,OR5M12P,18
340,PCDHGA5,22
341,IGHV3OR16-9,17
342,TRBJ2-5,53
343,TPRX1P1,2
344,TMEM225,24
345,LRRC14B,54
346,MIR1285-1,48
347,USP17L26,20
348,TEX51,21
349,PLA2G3,3
350,IGHV1-46,12
351,DUX4L4,11
352,TRBV10-3,5
353,OR5BC1P,43
354,MIR3689B,27
355,USP17L29,20
356,PRAMEF20,38
357,MIR4305,31
358,PLA2G2A,3
359,PCDHA1,15
360,TRBV11-1,47
361,OR9L1P,43
362,IGKV3-11,16
363,USP17L27,20
364,OR13F1,32
365,H2BC7,42
366,IGLV5-48,52
367,IGLV7-46,9
368,TRBV27,5
369,IGLV3-19,16
370,MIR5088,4
371,TRBV4-3,53
372,PLD4,3
373,TRBJ2-4,53
374,MIR1273H,48
375,MIR5707,1
376,IGHV3-11,12
377,IGLV2-8,16
378,OR9G3P,18
379,H3C14,19
380,IGHV3-7,16
381,MIR5695,4
382,MIR6862-1,39
383,IGKV1D-39,12
384,TRNAG-GCC,33
385,OR5BE1P,18
386,TRBV5-5,47
387,PCDHA11,15
388,IGHV3-9,12
389,TRAV13-1,5
390,PRAMEF14,38
391,IGHV1-24,17
392,OR5M13P,18
393,IGLV1-40,16
394,OR4A4P,36
395,TRNAG-UCC,33
396,USP17L11,20
397,MIR3115,37
398,USP17L21,20
399,TRAJ22,0
400,IGHV3OR16-13,17
401,MIR6770-2,39
402,ATP8A1,3
403,IGKV1D-42,52
404,OR7E109P,36
405,IGLV3-25,16
406,IGLV8-61,9
407,TRAV16,46
408,TRAJ43,0
409,MIR4507,48
410,TRAJ21,0
411,USP17L23,20
412,H2AC3P,2
413,MIR7704,48
414,TRAV6,46
415,TRAJ32,0
416,TRBV4-1,5
417,OR9M1P,34
418,GOLGA8N,49
419,OR56A4,32
420,MIR7155,1
421,TRAV26-2,47
422,IGHV1-69,16
423,H2BP6,7
424,MIR6511A3,44
425,MIR4327,10
426,OR56A1,32
427,OR4A46P,34
428,MIR3135A,41
429,PCDHA7,15
430,MIR6721,51
431,TRAV34,47
432,IGLV3-16,9
433,OR5M4P,18
434,USP17L25,20
435,DUXAP6,2
436,IGHV3-30-3,50
437,GOLGA8T,49
438,IGKV1-27,57
439,IGKV2D-28,12
440,PCDHGA7,22
441,MIR6770-1,39
442,MIR6786,4
443,FAM90A3P,7
444,IGKV1-33,12
445,IGKV1-13,52
446,IGKV2D-40,12
447,PCDHGA12,22
448,IGKV3-20,16
449,PRAMEF15,38
450,TRBJ1-2,55
451,IGHV3-30,16
452,OR51P1P,34
453,TRAJ36,0
454,MIR7114,4
455,TRAJ52,0
456,MIR4685,31
457,H3C15,19
458,OR11G1P,36
459,IGKV2-28,16
460,H4C15,40
461,PLA2G5,3
462,TRAJ5,0
463,PLSCR5,3
464,PRAMEF4,38
465,MIR6832,51
466,MIR7703,4
467,SMCO1,54
468,H1-7,21
469,IGHV3-49,17
470,TRBV2,5
471,MIR6743,4
472,IGHV1-69-2,17
473,PRAMEF18,38
474,PRAMEF6,38
475,TRAJ12,0
476,LINC02876,7
477,IGLV10-54,9
478,IGKV1-17,16
479,OR8F1P,8
480,TRAJ47,0
481,ATP10A,3
482,MIR8485,14
483,OR4A21P,18
484,MIR6742,4
485,IGKV1D-37,52
486,TRBV6-6,46
487,OR13D2P,2
488,TRAJ42,0
489,TRAJ49,0
490,TRBJ1-1,55
491,H4C4,40
492,PCDHGC4,22
493,MIR6514,39
494,H3C2,45
495,MIR6852,48
496,BAGE4,54
497,MIR10392,39
498,ATP8B3,3
499,IGKV3-15,16
500,OR4V1P,18
501,IGKV1-8,57
502,TRAV26-1,5
503,PRAMEF2,38
504,MT-ND5,23
505,CT47A12,13
506,PCDHGA2,22
507,PCDHGB1,22
508,MIR8065,44
509,SEPTIN12,21
510,IGLV4-69,9
511,OR6D1P,2
512,TRAV25,46
513,TRAJ16,0
514,MIR3689D1,27
515,OR4U1P,30
516,MIR3913-2,7
517,MIR151B,48
518,OR52X1P,34
519,OR4T1P,30
520,RBMY1F,56
521,MIR3187,25
522,MT-ND2,23
523,MIR3118-4,1
524,IGHV3-66,17
525,OR56A7P,34
526,PLSCR4,3
527,TRAV12-1,5
528,GOLGA8K,49
529,MIR6877,1
530,OR4A13P,18
531,H3C12,45
532,TRBV6-9,47
533,RBMY1D,56
534,TRAV12-3,5
535,TRBV5-4,5
536,USP17L30,20
537,TRBV5-3,53
538,IGHV1-3,17
539,OR4A12P,18
540,MIR3689F,27
541,H2BC9,42
542,TRBV10-1,47
543,TRBV11-3,47
544,TRAV29DV5,5
545,GOLGA8Q,49
546,MIR3157,37
547,OR7E111P,36
548,FAM90A7,15
549,IGLV3-9,57
550,MIR6741,48
551,OR6C5P,28
